type,time_to_first_byte,time_to_first_token,total_time,num_output_tokens,tokens_per_second,i_have_seen_paris,total_cost,status_code
chat_completion,149,1749,6867,202,29.416047764671617,True,0.0008192,200
chat_completion,133,1037,5997,183,30.515257628814407,True,0.0007432000000000001,200
chat_completion,162,1578,7698,171,22.213561964146532,True,0.0006952,200
chat_completion,132,1053,5446,158,29.012118986412048,True,0.0006432,200
chat_completion,122,939,6721,205,30.501413480136883,True,0.0008312,200
chat_completion,136,1117,7049,191,27.09604199177188,True,0.0007752,200
chat_completion,117,1263,7733,165,21.337126600284495,True,0.0006712,200
chat_completion,131,1273,6654,181,27.201683198076346,True,0.0007351999999999999,200
chat_completion,133,875,6708,176,26.23732856290996,True,0.0007152,200
chat_completion,118,1381,5497,173,31.47171184282336,True,0.0007032,200
